location,context,source,target,notes,developer comments
CharacterEmoji.csv,after_unlock_desc_en,Spring Festival,Spring Festival,,
ChestChest.csv,name_en,Summon,Summon,,
ChestChest.csv,desc_en,"For each summon: you can get 1 Faith, with a chance to draw an all-new character and decorations. \\n\\n Character drop rates: 5% \\n Decoration drop rates: 15% \\n Gift drop rates: 80% \\n\\n If summoned a duplicate character, will be converted into Wishing Stones. \\n Duplicate decorations will be converted into Star Stones.","For each summon: you can get 1 Faith, with a chance to draw an all-new character and decorations. \\n\\n Character drop rates: 5% \\n Decoration drop rates: 15% \\n Gift drop rates: 80% \\n\\n If summoned a duplicate character, will be converted into Wishing Stones. \\n Duplicate decorations will be converted into Star Stones.",,
ChestChestShop.csv,name_en,Chiori Mikami,Chiori Mikami,,
ChestChestShop.csv,name_en,Kana Fujita,Kana Fujita,,
ChestChestShop.csv,name_en,Mai Aihara,Mai Aihara,,
ChestChestShop.csv,name_en,Nadeshiko,Nadeshiko,,
ChestChestShop.csv,name_en,Yui Yagi,Yui Yagi,,
ChestChestShop.csv,name_en,Riu Kujou,Riu Kujou,,
ChestChestShop.csv,name_en,Riichi - Blue Flame,Riichi - Blue Flame,,
ChestChestShop.csv,name_en,Riichi - Ice,Riichi - Ice,,
ChestChestShop.csv,name_en,Riichi - Fire,Riichi - Fire,,
ChestChestShop.csv,name_en,Winning - Dark Flame,Winning - Dark Flame,,
ChestChestShop.csv,name_en,Winning - Fireworks,Winning - Fireworks,,
ChestChestShop.csv,name_en,Winning - Flame,Winning - Flame,,
ChestChestShop.csv,name_en,Winning - Cyclone,Winning - Cyclone,,
ChestChestShop.csv,name_en,Winning - Sakura,Winning - Sakura,,
ChestChestShop.csv,name_en,Ginger Cat Paw,Ginger Cat Paw,,
ChestChestShop.csv,name_en,Riichi - Firecracker,Riichi - Firecracker,,
ChestChestShop.csv,name_en,Riichi - Dumpling,Riichi - Dumpling,,
ChestChestShop.csv,name_en,Riichi - Fish,Riichi - Fish,,
ChestChestShop.csv,name_en,Riichi - Green Onion,Riichi - Green Onion,,
ChestChestShop.csv,name_en,Riichi - Bone,Riichi - Bone,,
ChestChestShop.csv,name_en,Riichi - Crimson,Riichi - Crimson,,
ChestChestShop.csv,name_en,24K Gold Riichi Bet,24K Gold Riichi Bet,,
ChestChestShop.csv,name_en,“Serious Game”,“Serious Game”,,
ChestChestShop.csv,name_en,“Intensive Battle”,“Intensive Battle”,,
ChestChestShop.csv,name_en,Tablecloth - Lunar New Year,Tablecloth - Lunar New Year,,
ChestChestShop.csv,name_en,Riichi - Phantom,Riichi - Phantom,,
ChestChestShop.csv,name_en,Riichi - Feather,Riichi - Feather,,
ChestChestShop.csv,name_en,Winning - Firestorm,Winning - Firestorm,,
ChestChestShop.csv,name_en,Winning - Laser Blast,Winning - Laser Blast,,
ChestChestShop.csv,name_en,Winning - Dancing Rose,Winning - Dancing Rose,,
ChestChestShop.csv,name_en,Xenia,Xenia,,
ChestChestShop.csv,name_en,Kavvi,Kavvi,,
ChestChestShop.csv,name_en,Natsuki Shinomiya,Natsuki Shinomiya,,
ChestChestShop.csv,name_en,Wanjirou,Wanjirou,,
ChestChestShop.csv,name_en,Sora Ichinose,Sora Ichinose,,
ChestChestShop.csv,name_en,Hideki Akechi,Hideki Akechi,,
ChestChestShop.csv,name_en,"Riichi - ""Beep""!","Riichi - ""Beep""!",,
ChestChestShop.csv,name_en,Riichi - Dragon,Riichi - Dragon,,
ChestChestShop.csv,name_en,Winning - K.O,Winning - K.O,,
ChestChestShop.csv,name_en,Winning - Inverted Dragon Scale,Winning - Inverted Dragon Scale,,
ChestChestShop.csv,name_en,Riichi Bet - Sever,Riichi Bet - Sever,,
ChestChestShop.csv,name_en,Riichi Bet - Ice Cream,Riichi Bet - Ice Cream,,
ChestChestShop.csv,name_en,Sara,Sara,,
ChestChestShop.csv,name_en,Hana Ninomiya,Hana Ninomiya,,
ChestChestShop.csv,name_en,“Charge”,“Charge”,,
ChestChestShop.csv,name_en,Tablecloth - Mahjong Ceremony,Tablecloth - Mahjong Ceremony,,
ChestChestShop.csv,name_en,Tablecloth - Melon,Tablecloth - Melon,,
ChestChestShop.csv,name_en,Winning - Screaming Ghost,Winning - Screaming Ghost,,
ChestChestShop.csv,name_en,Riichi - Bat Swarm,Riichi - Bat Swarm,,
ChestChestShop.csv,name_en,Riichi Bet - Impish Bat,Riichi Bet - Impish Bat,,
ChestChestShop.csv,name_en,Tile Back - Bumpkin,Tile Back - Bumpkin,,
ChestChestShop.csv,name_en,Nana Shiraishi,Nana Shiraishi,,
ChestChestShop.csv,name_en,Hinata Takanashi,Hinata Takanashi,,
ChestChestShop.csv,name_en,“On the Edge”,“On the Edge”,,
ChestChestShop.csv,name_en,Winning - Opera Phantom,Winning - Opera Phantom,,
ChestChestShop.csv,name_en,Winning - Magical Girl,Winning - Magical Girl,,
ChestChestShop.csv,name_en,Riichi - Emergency,Riichi - Emergency,,
ChestChestShop.csv,name_en,Riichi - Magical Girl,Riichi - Magical Girl,,
ChestChestShop.csv,name_en,Riichi Bet - Magical Wand,Riichi Bet - Magical Wand,,
ChestChestShop.csv,name_en,Haruna Igarashi,Haruna Igarashi,,
ChestChestShop.csv,name_en,Anju Suzumiya,Anju Suzumiya,,
ChestChestShop.csv,name_en,Joseph,Joseph,,
ChestChestShop.csv,name_en,Osamu Saitou,Osamu Saitou,,
ChestChestShop.csv,name_en,Winning - Family Reunion,Winning - Family Reunion,,
ChestChestShop.csv,name_en,Riichi - Rat Power,Riichi - Rat Power,,
ChestChestShop.csv,name_en,Riichi Bet - Gold Arowana,Riichi Bet - Gold Arowana,,
ChestChestShop.csv,name_en,Tile Back - Red Packet,Tile Back - Red Packet,,
ChestChestShop.csv,name_en,Tablecloth - Swimming Koi,Tablecloth - Swimming Koi,,
ChestChestShop.csv,name_en,Wishing Stone,Wishing Stone,,
ChestChestShop.csv,name_en,Sawako Kitami,Sawako Kitami,,
ChestChestShop.csv,name_en,Ein,Ein,,
ChestChestShop.csv,name_en,,,,
ChestChestShop.csv,name_en,Winning - Silent Star,Winning - Silent Star,,
ChestChestShop.csv,name_en,Winning - Eye of Eris,Winning - Eye of Eris,,
ChestChestShop.csv,name_en,Riichi - Starfall,Riichi - Starfall,,
ChestChestShop.csv,name_en,Riichi - Blood·Lance of Longinus,Riichi - Blood·Lance of Longinus,,
ChestChestShop.csv,name_en,Riichi Bet - Crimson Thorns,Riichi Bet - Crimson Thorns,,
DesktopChest.csv,name_en,Silver Chest,Silver Chest,,
DesktopChest.csv,name_en,Gold Chest,Gold Chest,,
DesktopChest.csv,name_en,Jade Chest,Jade Chest,,
DesktopChest.csv,name_en,King’s Chest,King’s Chest,,
DesktopChest.csv,name_en,Casual Chest,Casual Chest,,
DesktopMatchmode.csv,room_name_en,Bronze Room,Bronze Room,,
DesktopMatchmode.csv,room_name_en,Silver Room,Silver Room,,
DesktopMatchmode.csv,room_name_en,Gold Room,Gold Room,,
DesktopMatchmode.csv,room_name_en,Jade Room,Jade Room,,
DesktopMatchmode.csv,room_name_en,Melee Room,Melee Room,,
DesktopMatchmode.csv,room_name_en,Throne Room,Throne Room,,
DesktopMatchmode.csv,room_name_en,Casual Match,Casual Match,,
DesktopMatchmode.csv,room_name_en,DoraDorara,DoraDorara,,
DesktopMatchmode.csv,room_name_en,Open Hand Match,Open Hand Match,,
DesktopMatchmode.csv,room_name_en,Chaotic Wall Break,Chaotic Wall Break,,
EventsBaseTask.csv,desc_en,Win a game with Ron,Win a game with Ron,,
EventsBaseTask.csv,desc_en,Avoid dealing into others' in 6 games,Avoid dealing into others' in 6 games,,
EventsBaseTask.csv,desc_en,Yaku: Riichi,Yaku: Riichi,,
EventsBaseTask.csv,desc_en,Win 5 games with Riichi,Win 5 games with Riichi,,
EventsBaseTask.csv,desc_en,Win 2 games with All Simples,Win 2 games with All Simples,,
EventsBaseTask.csv,desc_en,Win 4 games with All Simples,Win 4 games with All Simples,,
EventsBaseTask.csv,desc_en,Win 6 games with All Simples,Win 6 games with All Simples,,
EventsBaseTask.csv,desc_en,Win 1 game with Pinfu,Win 1 game with Pinfu,,
EventsBaseTask.csv,desc_en,Win 3 games with Pinfu,Win 3 games with Pinfu,,
EventsBaseTask.csv,desc_en,Win 5 games with Pinfu,Win 5 games with Pinfu,,
EventsBaseTask.csv,desc_en,Win a game with Half Flush or Full Flush,Win a game with Half Flush or Full Flush,,
EventsBaseTask.csv,desc_en,Yaku: Half Flush/Full Flush,Yaku: Half Flush/Full Flush,,
EventsBaseTask.csv,desc_en,Win 1 game with Full Flush,Win 1 game with Full Flush,,
EventsBaseTask.csv,desc_en,Win 1 game with Pure Double Sequence,Win 1 game with Pure Double Sequence,,
EventsBaseTask.csv,desc_en,Win 2 games with Pure Double Sequence,Win 2 games with Pure Double Sequence,,
EventsBaseTask.csv,desc_en,Win 1 game with Twice Pure Double Sequence,Win 1 game with Twice Pure Double Sequence,,
EventsBaseTask.csv,desc_en,Win 1 game with Half Outside Hand or Fully Outside Hand,Win 1 game with Half Outside Hand or Fully Outside Hand,,
EventsBaseTask.csv,desc_en,Win 2 games with Half Outside Hand or Fully Outside Hand,Win 2 games with Half Outside Hand or Fully Outside Hand,,
EventsBaseTask.csv,desc_en,Draw 1 Ura Dora,Draw 1 Ura Dora,,
EventsBaseTask.csv,desc_en,Draw 2 Ura Dora,Draw 2 Ura Dora,,
EventsBaseTask.csv,desc_en,Draw 5 Ura Dora,Draw 5 Ura Dora,,
EventsBaseTask.csv,desc_en,Win 1 game with Mixed Triple Sequence,Win 1 game with Mixed Triple Sequence,,
EventsBaseTask.csv,desc_en,Win 1 game with Triple Triplets,Win 1 game with Triple Triplets,,
EventsBaseTask.csv,desc_en,Win a game with All Triplets,Win a game with All Triplets,,
EventsBaseTask.csv,desc_en,Win 1 game with Riichi + All Simples + Pinfu,Win 1 game with Riichi + All Simples + Pinfu,,
EventsBaseTask.csv,desc_en,Win 1 game with Fully Outside Hand + Mixed Triple Sequence,Win 1 game with Fully Outside Hand + Mixed Triple Sequence,,
EventsBaseTask.csv,desc_en,Yaku: Dragon,Yaku: Dragon,,
EventsBaseTask.csv,desc_en,Yaku: Seat/Prevalent Wind,Yaku: Seat/Prevalent Wind,,
EventsBaseTask.csv,desc_en,立直,立直,,
EventsBaseTask.csv,desc_en,门前清自摸和,门前清自摸和,,
EventsBaseTask.csv,desc_en,平和,平和,,
EventsBaseTask.csv,desc_en,一杯口,一杯口,,
EventsBaseTask.csv,desc_en,七对子,七对子,,
EventsBaseTask.csv,desc_en,两立直,两立直,,
EventsBaseTask.csv,desc_en,二杯口,二杯口,,
EventsBaseTask.csv,desc_en,天和,天和,,
EventsBaseTask.csv,desc_en,地和,地和,,
EventsBaseTask.csv,desc_en,四暗刻,四暗刻,,
EventsBaseTask.csv,desc_en,四暗刻单器,四暗刻单器,,
EventsBaseTask.csv,desc_en,国士无双,国士无双,,
EventsBaseTask.csv,desc_en,国士十三面,国士十三面,,
EventsBaseTask.csv,desc_en,九莲宝灯,九莲宝灯,,
EventsBaseTask.csv,desc_en,纯正九莲,纯正九莲,,
EventsBaseTask.csv,desc_en,断幺九,断幺九,,
EventsBaseTask.csv,desc_en,红宝牌,红宝牌,,
EventsBaseTask.csv,desc_en,宝牌,宝牌,,
EventsBaseTask.csv,desc_en,里宝牌,里宝牌,,
EventsBaseTask.csv,desc_en,北宝牌,北宝牌,,
EventsBaseTask.csv,desc_en,一发,一发,,
EventsBaseTask.csv,desc_en,抢杠,抢杠,,
EventsBaseTask.csv,desc_en,三色同顺,三色同顺,,
EventsBaseTask.csv,desc_en,三色同刻,三色同刻,,
EventsBaseTask.csv,desc_en,三杠子,三杠子,,
EventsBaseTask.csv,desc_en,对对和,对对和,,
EventsBaseTask.csv,desc_en,三暗刻,三暗刻,,
EventsBaseTask.csv,desc_en,一气通贯,一气通贯,,
EventsBaseTask.csv,desc_en,岭上开花,岭上开花,,
EventsBaseTask.csv,desc_en,海底摸月,海底摸月,,
EventsBaseTask.csv,desc_en,河底捞鱼,河底捞鱼,,
EventsBaseTask.csv,desc_en,纯全带幺九,纯全带幺九,,
EventsBaseTask.csv,desc_en,清一色,清一色,,
EventsBaseTask.csv,desc_en,清老头,清老头,,
EventsBaseTask.csv,desc_en,绿一色,绿一色,,
EventsBaseTask.csv,desc_en,四杠子,四杠子,,
EventsBaseTask.csv,desc_en,白,白,,
EventsBaseTask.csv,desc_en,发,发,,
EventsBaseTask.csv,desc_en,中,中,,
EventsBaseTask.csv,desc_en,自风,自风,,
EventsBaseTask.csv,desc_en,场风,场风,,
EventsBaseTask.csv,desc_en,混全带幺九,混全带幺九,,
EventsBaseTask.csv,desc_en,混老头,混老头,,
EventsBaseTask.csv,desc_en,小三元,小三元,,
EventsBaseTask.csv,desc_en,混一色,混一色,,
EventsBaseTask.csv,desc_en,大三元,大三元,,
EventsBaseTask.csv,desc_en,字一色,字一色,,
EventsBaseTask.csv,desc_en,小四喜,小四喜,,
EventsBaseTask.csv,desc_en,大四喜,大四喜,,
EventsBaseTask.csv,desc_en,Ura Dora or Yaku: Ippatsu,Ura Dora or Yaku: Ippatsu,,
EventsBaseTask.csv,desc_en,Fully Concealed Hand/Pinfu,Fully Concealed Hand/Pinfu,,
EventsBaseTask.csv,desc_en,Yaku: All Simples,Yaku: All Simples,,
EventsBaseTask.csv,desc_en,Win a game with Dora,Win a game with Dora,,
EventsBaseTask.csv,desc_en,Win a game with Seat Wind,Win a game with Seat Wind,,
EventsBaseTask.csv,desc_en,Win 2 games with Pinfu,Win 2 games with Pinfu,,
EventsBaseTask.csv,desc_en,Win 10 games with at least a Dora,Win 10 games with at least a Dora,,
EventsBaseTask.csv,desc_en,Win 2 games with Fully Concealed Hand,Win 2 games with Fully Concealed Hand,,
EventsBaseTask.csv,desc_en,Win 2 games with Yakuhai: White,Win 2 games with Yakuhai: White,,
EventsBaseTask.csv,desc_en,Win 5 games with at least a Red Five,Win 5 games with at least a Red Five,,
EventsBaseTask.csv,desc_en,Win 10 games with a Yaku that values 1 Han,Win 10 games with a Yaku that values 1 Han,,
EventsBaseTask.csv,desc_en,Win 2 games with Yakuhai: Green,Win 2 games with Yakuhai: Green,,
EventsBaseTask.csv,desc_en,Win a game with Ippatsu,Win a game with Ippatsu,,
EventsBaseTask.csv,desc_en,Win 5 games with at least a Ura Dora,Win 5 games with at least a Ura Dora,,
EventsBaseTask.csv,desc_en,Avoid dealing into others' in 88 games,Avoid dealing into others' in 88 games,,
EventsBaseTask.csv,desc_en,Win 2 games with Yakuhai: Red,Win 2 games with Yakuhai: Red,,
EventsBaseTask.csv,desc_en,Win 2 games with a Yaku that values 2 Han or above,Win 2 games with a Yaku that values 2 Han or above,,
EventsBaseTask.csv,desc_en,Ron 8 times,Ron 8 times,,
EventsBaseTask.csv,desc_en,Purchase 2 times from Misc Shop,Purchase 2 times from Misc Shop,,
EventsBaseTask.csv,desc_en,Win a game with Seven Pairs,Win a game with Seven Pairs,,
EventsBaseTask.csv,desc_en,Win a game with Prevalent Wind,Win a game with Prevalent Wind,,
EventsBaseTask.csv,desc_en,Win 20 games with at least a Dora,Win 20 games with at least a Dora,,
EventsBaseTask.csv,desc_en,Tsubame-gaeshi,Tsubame-gaeshi,,
EventsBaseTask.csv,desc_en,Kanburi,Kanburi,,
EventsBaseTask.csv,desc_en,Shiiaruraotai,Shiiaruraotai,,
EventsBaseTask.csv,desc_en,Uumensai,Uumensai,,
EventsBaseTask.csv,desc_en,Three Chained Triplets,Three Chained Triplets,,
EventsBaseTask.csv,desc_en,Pure Triple Chow,Pure Triple Chow,,
EventsBaseTask.csv,desc_en,Iipinmoyue,Iipinmoyue,,
EventsBaseTask.csv,desc_en,Chuupinraoyui,Chuupinraoyui,,
EventsBaseTask.csv,desc_en,Hand of Man,Hand of Man,,
EventsBaseTask.csv,desc_en,Big Wheels,Big Wheels,,
EventsBaseTask.csv,desc_en,Bamboo Forest,Bamboo Forest,,
EventsBaseTask.csv,desc_en,Numerous Neighbours,Numerous Neighbours,,
EventsBaseTask.csv,desc_en,Ishinouenimosannen,Ishinouenimosannen,,
EventsBaseTask.csv,desc_en,Big Seven Stars,Big Seven Stars,,
EventsBaseTask.csv,desc_en,Win 6 games with Riichi,Win 6 games with Riichi,,
EventsBaseTask.csv,desc_en,Win 3 games with Fully Concealed Hand,Win 3 games with Fully Concealed Hand,,
EventsBaseTask.csv,desc_en,Win 3 games with Yaku: Dragon,Win 3 games with Yaku: Dragon,,
EventsBaseTask.csv,desc_en,Get 1st or 2nd 1 time in Open Hand Match,Get 1st or 2nd 1 time in Open Hand Match,,
EventsBaseTask.csv,desc_en,Win 2 games with at least a Ura Dora,Win 2 games with at least a Ura Dora,,
EventsBaseTask.csv,desc_en,Win 33 games with Ron and Tsumo,Win 33 games with Ron and Tsumo,,
EventsBaseTask.csv,desc_en,Ron 10 times,Ron 10 times,,
EventsBaseTask.csv,desc_en,Donate 1 gift (Items - Gift),Donate 1 gift (Items - Gift),,
EventsBaseTask.csv,desc_en,Win 2 games with Yaku: Seat/Prevalent Wind,Win 2 games with Yaku: Seat/Prevalent Wind,,
EventsBaseTask.csv,desc_en,"Win 1 game with Seat Wind, Prevalent Wind or Dragons","Win 1 game with Seat Wind, Prevalent Wind or Dragons",,
EventsBaseTask.csv,desc_en,Finish 1 match in 2nd or 1st place,Finish 1 match in 2nd or 1st place,,
EventsBaseTask.csv,desc_en,"Win 1 game with Ippatsu, Ura Dora or Fully Concealed Hand","Win 1 game with Ippatsu, Ura Dora or Fully Concealed Hand",,
EventsBaseTask.csv,desc_en,Win 1 game with 2 Han Yaku or above included,Win 1 game with 2 Han Yaku or above included,,
EventsBaseTask.csv,desc_en,Win 1 game with All Simples or Pinfu,Win 1 game with All Simples or Pinfu,,
EventsBaseTask.csv,desc_en,Win 2 games with 1 Han Yaku included,Win 2 games with 1 Han Yaku included,,
EventsBaseTask.csv,desc_en,Win 8 games with 1 Han Yaku included,Win 8 games with 1 Han Yaku included,,
EventsBaseTask.csv,desc_en,Get 1st or 2nd 1 time in Chaotic Wall Break,Get 1st or 2nd 1 time in Chaotic Wall Break,,
EventsBaseTask.csv,desc_en,Win 2 games with Yaku: Dragon,Win 2 games with Yaku: Dragon,,
EventsBaseTask.csv,desc_en,Win 28 games with Ron and Tsumo,Win 28 games with Ron and Tsumo,,
EventsBaseTask.csv,desc_en,Win 1 game with Seven Pairs or All Triplets,Win 1 game with Seven Pairs or All Triplets,,
EventsBaseTask.csv,desc_en,Win 3 games with All Simples,Win 3 games with All Simples,,
EventsBaseTask.csv,desc_en,Win 3 games with at least a Red Five,Win 3 games with at least a Red Five,,
EventsBaseTask.csv,desc_en,Finished 1 lap on the event map,Finished 1 lap on the event map,,
EventsBaseTask.csv,desc_en,Finished 2 laps on the event map,Finished 2 laps on the event map,,
EventsBaseTask.csv,desc_en,Finished 3 laps on the event map,Finished 3 laps on the event map,,
EventsBaseTask.csv,desc_en,Finished 4 laps on the event map,Finished 4 laps on the event map,,
EventsBaseTask.csv,desc_en,Finished 5 laps on the event map,Finished 5 laps on the event map,,
EventsBaseTask.csv,desc_en,Finished 6 laps on the event map,Finished 6 laps on the event map,,
EventsBaseTask.csv,desc_en,Finished 7 laps on the event map,Finished 7 laps on the event map,,
EventsBaseTask.csv,desc_en,Finished 8 laps on the event map,Finished 8 laps on the event map,,
EventsBaseTask.csv,desc_en,Finished 9 laps on the event map,Finished 9 laps on the event map,,
EventsBaseTask.csv,desc_en,Finished 10 laps on the event map,Finished 10 laps on the event map,,
EventsDailyevent.csv,desc_en,Play 3 matches in Bronze Room - 4-Player East,Play 3 matches in Bronze Room - 4-Player East,,
EventsDailyevent.csv,desc_en,Play 3 matches in Bronze Room - 4-Player South,Play 3 matches in Bronze Room - 4-Player South,,
EventsDailyevent.csv,desc_en,Play 2 matches in Bronze Room - 4-Player East,Play 2 matches in Bronze Room - 4-Player East,,
EventsDailyevent.csv,desc_en,Play 2 matches in Bronze Room - 4-Player South,Play 2 matches in Bronze Room - 4-Player South,,
EventsDailyevent.csv,desc_en,Play 2 matches in Friends Room - 4-Player East,Play 2 matches in Friends Room - 4-Player East,,
EventsDailyevent.csv,desc_en,Play 2 matches in Friends Room - 4-Player South,Play 2 matches in Friends Room - 4-Player South,,
EventsDailyevent.csv,desc_en,Play 3 matches in Silver Room - 4-Player East,Play 3 matches in Silver Room - 4-Player East,,
EventsDailyevent.csv,desc_en,Play 3 matches in Silver Room - 4-Player South,Play 3 matches in Silver Room - 4-Player South,,
EventsDailyevent.csv,desc_en,Play 2 matches in Silver Room - 4-Player East,Play 2 matches in Silver Room - 4-Player East,,
EventsDailyevent.csv,desc_en,Play 2 matches in Silver Room - 4-Player South,Play 2 matches in Silver Room - 4-Player South,,
EventsDailyevent.csv,desc_en,Play 3 matches in Gold Room - 4-Player East,Play 3 matches in Gold Room - 4-Player East,,
EventsDailyevent.csv,desc_en,Play 3 matches in Gold Room - 4-Player South,Play 3 matches in Gold Room - 4-Player South,,
EventsDailyevent.csv,desc_en,Play 2 matches in Gold Room - 4-Player East,Play 2 matches in Gold Room - 4-Player East,,
EventsDailyevent.csv,desc_en,Play 2 matches in Gold Room - 4-Player South,Play 2 matches in Gold Room - 4-Player South,,
EventsDailyevent.csv,desc_en,Play 3 matches in Jade Room - 4-Player East,Play 3 matches in Jade Room - 4-Player East,,
EventsDailyevent.csv,desc_en,Play 3 matches in Jade Room - 4-Player South,Play 3 matches in Jade Room - 4-Player South,,
EventsDailyevent.csv,desc_en,Play 2 matches in Jade Room - 4-Player East,Play 2 matches in Jade Room - 4-Player East,,
EventsDailyevent.csv,desc_en,Play 2 matches in Jade Room - 4-Player South,Play 2 matches in Jade Room - 4-Player South,,
EventsDailyevent.csv,desc_en,Play 2 matches in Bronze Room,Play 2 matches in Bronze Room,,
EventsDailyevent.csv,desc_en,Play 3 matches in Bronze Room,Play 3 matches in Bronze Room,,
EventsDailyevent.csv,desc_en,Get 1st or 2nd 1 time in Bronze Room,Get 1st or 2nd 1 time in Bronze Room,,
EventsDailyevent.csv,desc_en,Win 4 games with Ron,Win 4 games with Ron,,
EventsDailyevent.csv,desc_en,Win 2 games with Tsumo,Win 2 games with Tsumo,,
EventsDailyevent.csv,desc_en,Avoid dealing into others' in 8 games,Avoid dealing into others' in 8 games,,
EventsDailyevent.csv,desc_en,Play 2 matches in Friends Room,Play 2 matches in Friends Room,,
EventsDailyevent.csv,desc_en,Play 2 matches in Silver Room,Play 2 matches in Silver Room,,
EventsDailyevent.csv,desc_en,Play 3 matches in Silver Room,Play 3 matches in Silver Room,,
EventsDailyevent.csv,desc_en,Get 1st or 2nd 1 time in Silver Room,Get 1st or 2nd 1 time in Silver Room,,
EventsDailyevent.csv,desc_en,Play 2 matches in Gold Room,Play 2 matches in Gold Room,,
EventsDailyevent.csv,desc_en,Play 3 matches in Gold Room,Play 3 matches in Gold Room,,
EventsDailyevent.csv,desc_en,Get 1st or 2nd 1 time in Gold Room,Get 1st or 2nd 1 time in Gold Room,,
EventsDailyevent.csv,desc_en,Play 2 matches in Jade Room,Play 2 matches in Jade Room,,
EventsDailyevent.csv,desc_en,Play 3 matches in Jade Room,Play 3 matches in Jade Room,,
EventsDailyevent.csv,desc_en,Get 1st or 2nd 1 time in Jade Room,Get 1st or 2nd 1 time in Jade Room,,
EventsDailyevent.csv,desc_en,Play 2 matches in Room of the Throne,Play 2 matches in Room of the Throne,,
EventsDailyevent.csv,desc_en,Play 3 matches in Room of the Throne,Play 3 matches in Room of the Throne,,
EventsDailyevent.csv,desc_en,Get 1st or 2nd 1 time in Room of the Throne,Get 1st or 2nd 1 time in Room of the Throne,,
EventsDailyevent.csv,desc_en,Double rewards! Play 3 matches in Bronze Room - 4-Player East,Double rewards! Play 3 matches in Bronze Room - 4-Player East,,
