location,source,target
both_ui/otherplayerinfo|0|2|6|1|1|8|3,LUK,행운
both_ui/otherplayerinfo|0|2|6|1|1|9|0,Play Style,플레이 경향
both_ui/otherplayerinfo|0|2|6|1|2|6|0,Rank,순위
both_ui/otherplayerinfo|0|2|6|1|2|7|0,Rank,순위
both_ui/otherplayerinfo|0|2|6|1|2|8|0,Rank,순위
both_ui/otherplayerinfo|0|2|6|1|2|9|0,Rank,순위
both_ui/otherplayerinfo|0|2|6|1|2|10|0,Trends,트렌드
both_ui/otherplayerinfo|0|2|6|1|3|0|0,Detailed Info,상세 정보
both_ui/otherplayerinfo|0|2|6|1|4|0|2,East Round,동풍전
both_ui/otherplayerinfo|0|2|6|1|4|1|0,1st,1위
both_ui/otherplayerinfo|0|2|6|1|4|1|2,2nd,2위
both_ui/otherplayerinfo|0|2|6|1|4|1|4,3rd,3위
both_ui/otherplayerinfo|0|2|6|1|4|1|6|0,4th,4위
both_ui/otherplayerinfo|0|2|6|1|4|1|7|0,Negative,들통
both_ui/otherplayerinfo|0|2|6|1|4|1|8,Total Played,총 플레이 횟수
both_ui/otherplayerinfo|0|2|6|1|4|1|10,Avg Score,평균 점수
both_ui/otherplayerinfo|0|2|6|1|4|1|12,Avg Rank,평균 순위
both_ui/otherplayerinfo|0|2|6|1|4|1|14,Max Repeats,최대 연장
both_ui/otherplayerinfo|0|2|6|1|4|1|16,Avg Turns,평균 화료순
both_ui/otherplayerinfo|0|2|6|1|4|1|18,Win Rate,화료율
both_ui/otherplayerinfo|0|2|6|1|4|1|20,Tsumo Rate,쯔모율
both_ui/otherplayerinfo|0|2|6|1|4|1|22,Deal-in Rate,방총률
both_ui/otherplayerinfo|0|2|6|1|4|1|24,Call Rate,후로율
both_ui/otherplayerinfo|0|2|6|1|4|1|26,Riichi Rate,리치율
both_ui/otherplayerinfo|0|2|6|1|5|0|2,South Round,반장전
both_ui/otherplayerinfo|0|2|6|1|5|1|0,1st,1위
both_ui/otherplayerinfo|0|2|6|1|5|1|2,2nd,2위
both_ui/otherplayerinfo|0|2|6|1|5|1|4,3rd,3위
both_ui/otherplayerinfo|0|2|6|1|5|1|6|0,4th,4위
both_ui/otherplayerinfo|0|2|6|1|5|1|7|0,Negative,들통
both_ui/otherplayerinfo|0|2|6|1|5|1|8,Total Played,총 플레이 횟수
both_ui/otherplayerinfo|0|2|6|1|5|1|10,Avg Score,평균 점수
both_ui/otherplayerinfo|0|2|6|1|5|1|12,Avg Rank,평균 순위
both_ui/otherplayerinfo|0|2|6|1|5|1|14,Max Repeats,최대 연장
both_ui/otherplayerinfo|0|2|6|1|5|1|16,Avg Turns,평균 화료순
both_ui/otherplayerinfo|0|2|6|1|5|1|18,Win Rate,화료율
both_ui/otherplayerinfo|0|2|6|1|5|1|20,Tsumo Rate,쯔모율
both_ui/otherplayerinfo|0|2|6|1|5|1|22,Deal-in Rate,방총률
both_ui/otherplayerinfo|0|2|6|1|5|1|24,Call Rate,후로율
both_ui/otherplayerinfo|0|2|6|1|5|1|26,Riichi Rate,리치율
both_ui/otherplayerinfo|0|2|6|1|6|0|2,Yaku Achieved,달성한 역
both_ui/otherplayerinfo|0|2|6|1|7|0|2,Local Yaku Achieved,달성한 로컬역
both_ui/otherplayerinfo|0|3|1,Empty,비어있음
both_ui/otherplayerinfo|0|3|3|0|0,Send,전송
both_ui/otherplayerinfo|0|3|4,This player only allows friends to leave messages,이 플레이어에게는 친구만 메시지를 전송할 수 있습니다
both_ui/otherplayerinfo|0|3|6|1|4|0|0,Recently used,최근 사용
both_ui/otherplayerinfo|0|3|6|1|4|0|2,All,전체
both_ui/otherplayerinfo|0|3|8|2,No signature yet,서명 없음
both_ui/otherplayerinfo|0|3|8|3,Signature,서명
both_ui/otherplayerinfo|0|5|0,4-Player,4인
both_ui/otherplayerinfo|0|6|0,3-Player,3인
both_ui/otherplayerinfo|0|7|0,Message,메시지
both_ui/otherplayerinfo_en|0|2|1|1,Add,친구 추가
both_ui/otherplayerinfo_en|0|2|5|1|0,Friendly Match,친선전
both_ui/otherplayerinfo_en|0|2|5|2|0,Ranked Match,단위전
both_ui/otherplayerinfo_en|0|2|6|1|0|0|0,Recent High Score,최근 고득점
both_ui/otherplayerinfo_en|0|2|6|1|0|3,No record available. Good luck!,기록이 없습니다. 행운을 빌어요!
both_ui/otherplayerinfo_en|0|2|6|1|1|0,ATK,공격
both_ui/otherplayerinfo_en|0|2|6|1|1|2,DEF,수비
both_ui/otherplayerinfo_en|0|2|6|1|1|4,SPD,속도
both_ui/otherplayerinfo_en|0|2|6|1|1|6,LUK,행운
both_ui/otherplayerinfo_en|0|2|6|1|1|8|0,ATK,공격
both_ui/otherplayerinfo_en|0|2|6|1|1|8|1,DEF,수비
both_ui/otherplayerinfo_en|0|2|6|1|1|8|2,SPD,속도
both_ui/otherplayerinfo_en|0|2|6|1|1|8|3,LUK,행운
both_ui/otherplayerinfo_en|0|2|6|1|1|9|0,Play Style,플레이 경향
both_ui/otherplayerinfo_en|0|2|6|1|2|6|0,Rank,순위
both_ui/otherplayerinfo_en|0|2|6|1|2|7|0,Rank,순위
both_ui/otherplayerinfo_en|0|2|6|1|2|8|0,Rank,순위
both_ui/otherplayerinfo_en|0|2|6|1|2|9|0,Rank,순위
both_ui/otherplayerinfo_en|0|2|6|1|2|10|0,Trends,트렌드
both_ui/otherplayerinfo_en|0|2|6|1|3|0|0,Detailed Info,상세 정보
both_ui/otherplayerinfo_en|0|2|6|1|4|0|2,East Round,동풍전
both_ui/otherplayerinfo_en|0|2|6|1|4|1|0,1st,1위
both_ui/otherplayerinfo_en|0|2|6|1|4|1|2,2nd,2위
both_ui/otherplayerinfo_en|0|2|6|1|4|1|4,3rd,3위
both_ui/otherplayerinfo_en|0|2|6|1|4|1|6|0,4th,4위
both_ui/otherplayerinfo_en|0|2|6|1|4|1|7|0,Negative,들통
both_ui/otherplayerinfo_en|0|2|6|1|4|1|8,Total Played,총 플레이 횟수
both_ui/otherplayerinfo_en|0|2|6|1|4|1|10,Avg Score,평균 점수
both_ui/otherplayerinfo_en|0|2|6|1|4|1|12,Avg Rank,평균 순위
both_ui/otherplayerinfo_en|0|2|6|1|4|1|14,Max Repeats,최대 연장
both_ui/otherplayerinfo_en|0|2|6|1|4|1|16,Avg Turns,평균 화료순
both_ui/otherplayerinfo_en|0|2|6|1|4|1|18,Win Rate,화료율
both_ui/otherplayerinfo_en|0|2|6|1|4|1|20,Tsumo Rate,쯔모율
both_ui/otherplayerinfo_en|0|2|6|1|4|1|22,Deal-in Rate,방총률
both_ui/otherplayerinfo_en|0|2|6|1|4|1|24,Call Rate,후로율
both_ui/otherplayerinfo_en|0|2|6|1|4|1|26,Riichi Rate,리치율
both_ui/otherplayerinfo_en|0|2|6|1|5|0|2,South Round,반장전
both_ui/otherplayerinfo_en|0|2|6|1|5|1|0,1st,1위
both_ui/otherplayerinfo_en|0|2|6|1|5|1|2,2nd,2위
both_ui/otherplayerinfo_en|0|2|6|1|5|1|4,3rd,3위
both_ui/otherplayerinfo_en|0|2|6|1|5|1|6|0,4th,4위
both_ui/otherplayerinfo_en|0|2|6|1|5|1|7|0,Negative,들통
both_ui/otherplayerinfo_en|0|2|6|1|5|1|8,Total Played,총 플레이 횟수
both_ui/otherplayerinfo_en|0|2|6|1|5|1|10,Avg Score,평균 점수
both_ui/otherplayerinfo_en|0|2|6|1|5|1|12,Avg Rank,평균 순위
both_ui/otherplayerinfo_en|0|2|6|1|5|1|14,Max Repeats,최대 연장
both_ui/otherplayerinfo_en|0|2|6|1|5|1|16,Avg Turns,평균 화료순
both_ui/otherplayerinfo_en|0|2|6|1|5|1|18,Win Rate,화료율
both_ui/otherplayerinfo_en|0|2|6|1|5|1|20,Tsumo Rate,쯔모율
both_ui/otherplayerinfo_en|0|2|6|1|5|1|22,Deal-in Rate,방총률
both_ui/otherplayerinfo_en|0|2|6|1|5|1|24,Call Rate,후로율
both_ui/otherplayerinfo_en|0|2|6|1|5|1|26,Riichi Rate,리치율
both_ui/otherplayerinfo_en|0|2|6|1|6|0|2,Yaku Achieved,달성한 역
both_ui/otherplayerinfo_en|0|2|6|1|7|0|2,Local Yaku Achieved,달성한 로컬역
both_ui/otherplayerinfo_en|0|3|1,Empty,비어있음
both_ui/otherplayerinfo_en|0|3|3|0|0,Send,전송
both_ui/otherplayerinfo_en|0|3|4,This player only allows friends to leave messages,이 플레이어에게는 친구만 메시지를 전송할 수 있습니다
both_ui/otherplayerinfo_en|0|3|6|1|4|0|0,Recently used,최근 사용
both_ui/otherplayerinfo_en|0|3|6|1|4|0|2,All,전체
both_ui/otherplayerinfo_en|0|3|8|2,No signature yet,서명 없음
both_ui/otherplayerinfo_en|0|3|8|3,Signature,서명
both_ui/otherplayerinfo_en|0|5|0,4-Player,4인
both_ui/otherplayerinfo_en|0|6|0,3-Player,3인
both_ui/otherplayerinfo_en|0|7|0,Message,메시지
both_ui/popwindow|0|4|0,Confirm,확인
both_ui/popwindow|1|2|0,Confirm,확인
both_ui/report_nickname|0|2,"If you have found any inappropriate information in the game, please contact our customer support.","게임 중 부적절한 행위를 발견했을 경우, 고객 지원부에 문의해주세요."
both_ui/report_nickname|0|3|0,Report,신고
both_ui/report_nickname|0|4|0,Cancel,취소
both_ui/report_nickname|0|5,Report the nickname,닉네임 신고
both_ui/report_success|0|2,We've received your report. Thank you for your contribution in making a better gaming environment!,신고가 접수되었습니다. 더 나은 게임 환경을 만드는데 기여해주셔서 감사합니다!
both_ui/report_success|0|3|0,OK,OK
both_ui/report_success|0|4,Reported successfully,성공적으로 신고됨
both_ui/rules|1|1|0|0|2,1 Han,1판
both_ui/rules|1|1|0|1|2,2 Han,2판
both_ui/rules|1|1|0|2|2,3 Han,3판
both_ui/rules|1|1|0|3|2,6 Han,6판
both_ui/rules|1|1|0|4|2,Mangan,만관
both_ui/rules|1|1|0|5|2,Yakuman,역만
both_ui/rules|1|1|0|6|2,Double Yakuman,더블 역만
both_ui/rules|1|1|0|7|2,Draw,유국
both_ui/rules|1|1|1|0|0|2,Menzenchin Only,멘젠 한정
both_ui/rules|1|4|0,Yaku Overview,역 요약
both_ui/rules|1|5|0,Tutorial,튜토리얼
both_ui/rules_en|1|1|0|0|2,1 Han,1판
both_ui/rules_en|1|1|0|1|2,2 Han,2판
both_ui/rules_en|1|1|0|2|2,3 Han,3판
both_ui/rules_en|1|1|0|3|2,6 Han,6판
both_ui/rules_en|1|1|0|4|2,Mangan,만관
both_ui/rules_en|1|1|0|5|2,Yakuman,역만
both_ui/rules_en|1|1|0|6|2,Double Yakuman,더블 역만
both_ui/rules_en|1|1|0|7|2,Draw,유국
both_ui/rules_en|1|1|1|0|0|2,Menzenchin Only,멘젠 한정
both_ui/rules_en|1|4|0,Yaku Overview,역 요약
both_ui/rules_en|1|5|0,Tutorial,튜토리얼
both_ui/secondconfirm|0|3|0,Confirm,확인
both_ui/secondconfirm|0|4|0,Cancel,취소
both_ui/unbind_yostar_mail|0|2,Account Unbinding,계정 연결 해제
both_ui/unbind_yostar_mail|0|5|0,Send code,코드 전송
both_ui/unbind_yostar_mail|0|6|0,Unbind,연결 해제
common/anotherlogin|0|2|0,Confirm,확인
common/anotherlogin|0|3,Your account has been signed in on another location,계정이 다른 장소에서 로그인되었습니다
common/closeapp|0|2,Do you wish to close the game?,게임을 종료하시겠습니까?
common/closeapp|0|3|0,Confirm,확인
common/closeapp|0|4|0,Cancel,취소
common/disconnect|1|2,Connection lost. Trying to reconnect,연결이 끊어졌습니다. 재접속을 시도하고 있습니다
common/errorinfo|1|3,"Oops, something is wrong with the program. Please refresh and enter the game again","이런, 뭔가 잘못됬습니다. 새로고침 후 다시 게임에 접속해주세요"
common/errorinfo|1|4|1,Restart Now,지금 재시작
common/guajichenfa|0|2|0,Confirm,확인
common/hangup_logout|0|2|0,Confirm,확인
common/hangup_logout|0|3,You have been AFK for a long time. The system has logged you out.,장시간 AFK 상태입니다. 시스템에서 로그아웃됩니다.
common/preventaddiction|0|0,"You have now entered fatigue time and can only earn 50% of rewards from game. For your wellbeing, we suggest you log out from game and do some exercise.","""피로 시간""에 도달하여 이제 게임에서 50%의 보상만 받을 수 있습니다. 당신의 건강을 위해 게임에서 로그아웃하고 약간의 운동을 하는 것을 추천합니다."
common/preventaddiction|0|1,You have entered unhealthy game time. We suggest you log out immediately and take a break. You cannot earn any rewards from game. Unhealthy game status will be lifted after you are offline for 5 hours.,"""건강에 해로운 시간""에 도달하였습니다. 즉시 로그아웃하고 휴식을 취하는 것이 좋습니다. 지금부터 게임에서 어떠한 보상도 얻을 수 없으며, 5시간동안 오프라인 상태로 유지하면 이 상태가 해제됩니다."
common/preventaddiction|1|0,Cumulative online time,누적 온라인 시간
common/reconnect|2,You have a match in progress,진행중인 경기가 있습니다
common/reconnect|3|0,Reconnect,재접속
common/shimingrenzheng|0|0|2,Real Name Authentication,실명 인증
common/shimingrenzheng|0|1|1,Authentication,인증
common/shimingrenzheng|0|2,"Dear user, according to the “Interim Measures for the Administration of Online Games”, you must go through real name authentication before playing this game.","""온라인 게임 관리를 위한 임시 조치""에 따라 게임을 플레이하시기 전 실명 인증이 필요합니다."
common/shimingrenzheng|0|3,1.The ID info can only be submitted once and cannot be changed. Please enter with care.,1. ID 정보는 한 번만 제출할 수 있으며 변경할 수 없습니다. 주의해서 입력하십시오.
common/shimingrenzheng|0|4,2.This info will only be used for real name authentication and will not be provided to any other third party.,2. 이 정보는 실명 인증에만 사용되며 제 3자에게는 제공되지 않습니다.
common/shimingrenzheng|0|5,"3.IDs from mainland China, Hong Kong, Macao and Taiwan are supported.","3. 중국, 홍콩, 마카오, 대만의 ID가 지원됩니다."
common/shimingrenzheng|0|6,Real name:,실명:
common/shimingrenzheng|0|7,ID number:,ID 번호:
common/user_xieyi|0|0|2,User Agreement,이용 약관
common/user_xieyi|0|1|1,Accept,동의
common/user_xieyi|0|3|1,Previous page,이전 페이지
common/user_xieyi|0|4|1,Next page,다음 페이지
entrance/account_prohibition|0|0|2|0,Confirm,확인
entrance/choose_route|0|0|2,Please choose your server,서버를 선택하세요
entrance/choose_route|0|0|3|0,Domestic route,국내 서버
entrance/choose_route|0|0|4|1,Overseas route,해외 서버
entrance/entrance|1|2|1|1|3,Remember me,계정 기억
entrance/entrance|1|2|2|0,Login with:,로그인 :
entrance/entrance|1|3,We recommend Chrome browser,크롬 브라우저를 추천합니다
entrance/entrance|1|4|1,Logging in,로그인 중
entrance/entrance|1|4|3|1,Log Out,로그아웃
entrance/entrance|1|5|1,Add to Home,홈 화면에 추가
entrance/entrance|2|0|0|2,Yostar Login,Yostar 로그인
entrance/entrance|2|0|2|2,Unavailable,사용 불가
entrance/entrance|2|0|4|2,Send Code,코드 전송
entrance/entrance|2|0|5|4|0,Agree to the,동의:
entrance/entrance|2|0|5|4|1,TERMS OF SERVICE,서비스 약관
entrance/entrance|2|0|5|4|2,and,및
entrance/entrance|2|0|5|4|3,PRIVACY POLICY,개인정보 취급방침
entrance/entrance|2|0|7,※Enter email address,※이메일 주소 입력
entrance/entrance|2|0|8,※Enter the verification code sent to your email,※이메일로 전송된 인증 코드 입력
entrance/error_info|0|0|2|0,Confirm,확인
entrance/ios_webview_update|0|1,New update available in iOS. Please download from the official website.,iOS에서 사용할 수 있는 새 업데이트가 있습니다. 공식 웹 사이트에서 다운로드하십시오.
entrance/maintenance|0|0|2|0,OK,OK
lobby/activity|0|3|1|1|0|0,Claim,받기
lobby/activity|0|3|1|2|0|0,Delete,삭제
lobby/activity|0|3|2,No Mail,편지 없음
lobby/activity|0|4|2,No Event,이벤트 없음
lobby/activitys/activitybase|0|0|1|1|3,coppers,동전: 
lobby/activitys/activitybase|0|0|1|1|4,Revival Tokens,부활 토큰
lobby/activitys/activitybase|0|0|1|1|9,Claimed,받음
lobby/activitys/activity_duanwu_rank|0|0|4,Claimed,받음
lobby/activitys/activity_exchange|0|0|1|1|5|0|0,Redeem,교환
lobby/activitys/activity_exchange|0|0|1|1|8,Claimed,받음
lobby/activitys/activity_exchange_zhongxia|0|0|1|1|5|0|0,Redeem,교환
lobby/activitys/activity_exchange_zhongxia|0|0|1|1|8,Claimed,받음
lobby/activitys/activity_guoqing|0|0|12|0|1|1,/,/
lobby/activitys/activity_jiuji|0|0,Revival Tokens,부활 토큰
lobby/activitys/activity_jiuji|0|1|1|3,coppers,동전: 
lobby/activitys/activity_jiuji|0|1|1|4,Revival Tokens,부활 토큰
lobby/activitys/activity_jiuji|0|1|1|10,Claimed,받음
lobby/activitys/activity_task|0|0|1|1|3,coppers,동전:
lobby/activitys/activity_task|0|0|1|1|8,Claimed,받음
lobby/activitys/activity_tongbi_exchange|0|0|1|1|5|0|0,Redeem,교환
lobby/activitys/activity_tongbi_exchange|0|0|1|1|8,Claimed,받음
lobby/activitys/activity_wuyi_exchange|0|0|1|1|5|0|0,Redeem,교환
lobby/activitys/activity_wuyi_exchange|0|0|1|1|8,Claimed,받음
lobby/activitys/activity_wuyi_task|0|0|1|1|8,Claimed,반듬
lobby/activitys/activity_yijidagong|0|4,Copper on the map,맵 위의 동전
lobby/activitys/activity_yijidagong|0|13|0|1,+,+
lobby/activitys/guoqing_popout|0|4|1,Claim,받기
lobby/activitys/guoqing_popout|0|5|1,Confirm,확인
lobby/add_room|0|2,Join Room #,참가할 방 번호
lobby/add_room|0|3|0,Confirm,확인
lobby/add_room|0|6|9|1,Clear,삭제
lobby/bag|0|0|0|1,Outfit,의상
lobby/bag|0|0|1|1,Decoration,장식
lobby/bag|0|0|2|1,Gift,선물
lobby/bag|0|0|3|1,Item,아이템
lobby/bag|0|1|3|0,Donate,기부
lobby/bag|0|1|6|0|0,Deselect All,모두 선택 해제
lobby/bag|0|1|6|1|0,Back,뒤로가기
lobby/bag|0|1|6|2|0,Donate,기부
lobby/bag|0|1|6|3,Select the gift you would like to donate,기부하고자 하는 선물을 선택하세요
lobby/bag|0|1|7,You can donate gifts to get Star Dust,선물 기부를 통해 별가루를 획득할 수 있습니다
lobby/bag|0|3|0|0|0|0|3|2|0,Bond,인연
lobby/bag|0|3|2|0,Display All,모두 표시
lobby/bag|0|3|3,Empty,비어있음
lobby/bag|1|0,Inventory,창고
lobby/chang_nickname|0|2,Change Name,이름 변경
lobby/chang_nickname|0|3|1,Name (1-14 chars),이름 (1-14자)
lobby/chang_nickname|0|3|4,Unavailable,사용 불가
lobby/chang_nickname|0|3|6|0,Require,필요
lobby/chang_nickname|0|3|7,Cannot contain empty spaces and special characters,공백 및 특수문자 사용 불가
lobby/chang_nickname|0|4|0,You can change your name once every 30 days.,30일에 한번 이름을 변경할 수 있습니다.
lobby/chang_nickname|0|4|1,Your name can be changed after:,변경될 이름은 다음과 같습니다:
lobby/chang_nickname|0|4|3,day(s),일
lobby/checkhuiyu|0|2,Jade info,휘옥 정보
lobby/checkhuiyu|0|3,Premium Jade:,프리미엄 휘옥:
lobby/checkhuiyu|0|5,Free Jade:,무료 휘옥:
lobby/checkhuiyu|0|7,Total:,합계:
lobby/checkhuiyu|0|10|0,Confirm,확인
lobby/checkhuiyu|0|11|0,Buy,구매
lobby/checkpifuquan|0|2,Current Outfit Voucher status,현재 의상 교환권 정보
lobby/checkpifuquan|0|3,Premium:,프리미엄:
lobby/checkpifuquan|0|5,Free:,무료:
lobby/checkpifuquan|0|7,Total:,합계:
lobby/checkpifuquan|0|10|0,Confirm,확인
lobby/checkpifuquan|0|11|0,Buy,구매
lobby/create_room|0|0|1|0|1|0,4-Player,4인
lobby/create_room|0|0|1|0|2|0,3-Player,3인
lobby/create_room|0|0|1|1|1|0,1 Game,단판
lobby/create_room|0|0|1|1|2|0,East Only,동풍전
lobby/create_room|0|0|1|1|3|0,Two-Wind Match,반장전
lobby/create_room|0|0|1|1|4|0,Vs AI,Vs AI
lobby/create_room|0|0|1|2|1|0,3+5s,3+5s
lobby/create_room|0|0|1|2|2|0,5+10s,5+10s
lobby/create_room|0|0|1|2|3|0,5+20s,5+20s
lobby/create_room|0|0|1|2|4|0,60+0s,60+0s
lobby/create_room|0|0|1|5|1|0,Disable,비활성화
lobby/create_room|0|0|1|5|2|0,Enable,활성화
lobby/create_room|0|0|1|7|2,"Minimum points 100, maximum points 200000","최소 점수 100, 최대 점수 200000"
lobby/create_room|0|0|1|8|2,"Minimum points 100, maximum points 200000.","최소 점수 100, 최대 점수 200000."
lobby/create_room|0|0|1|8|3,"At ALL LAST, if the 1st-ranked player has less points than this value, the game will extend into South/West Round",최종국에서 1위 플레이어가 이 값보다 점수가 적으면 경기는 남/서장으로 연장됩니다
lobby/create_room|0|0|1|9|1|0,Enable,활성화
lobby/create_room|0|0|1|9|2|0,Disable,비활성화
lobby/create_room|0|0|1|10|1|0,Disable,비활성화
lobby/create_room|0|0|1|10|2|0,Enable,활성화
lobby/create_room|0|0|1|11|1|0,No Red Five,적도라 없음
lobby/create_room|0|0|1|11|2|0,3 Red Five,적도라 3개
lobby/create_room|0|0|1|11|3|0,4 Red Five,적도라 4개
lobby/create_room|0|0|1|12|1|0,Enable,활성화
lobby/create_room|0|0|1|12|2|0,Disable,비활성화
lobby/create_room|0|0|1|13|1|0,1 Han,1판
lobby/create_room|0|0|1|13|2|0,2 Han,2판
lobby/create_room|0|0|1|13|3|0,4 Han,4판
lobby/create_room|0|0|1|14|1|0,Enable,활성화
lobby/create_room|0|0|1|14|2|0,Disable,비활성화
lobby/create_room|0|0|1|15|1|0,Off,끄기
lobby/create_room|0|0|1|15|2|0,On,켜기
lobby/create_room|0|0|1|16|1|0,Easy,쉬움
lobby/create_room|0|0|1|16|2|0,Normal,일반
lobby/create_room|0|0|1|17|1|0,Disable,비활성화
lobby/create_room|0|0|1|17|2|0,Enable,활성화
lobby/create_room|0|1|2,Create Room,방 만들기
lobby/diamond_less|0|2,Insufficient Jade,휘옥 부족
lobby/diamond_less|0|4|0,Buy,구매
lobby/diamond_less|0|5|0,Cancel,취소
lobby/diamond_less|0|6,Insufficient Jade ，Do you wish to Purchase ？,휘옥이 부족합니다. 구매하시겠습니까?
lobby/force_update|0|2,"New updates detected, please try to restart your game",새로운 업데이트가 있습니다. 게임을 다시 시작해주세요.
lobby/force_update|0|3|0,Confirm,확인
lobby/friend|0|1|0,Friends,친구
lobby/friend|1|1|0|0,Friend List,친구 목록
lobby/friend|1|1|1|0,Application,애플리케이션
lobby/friend|1|1|2|0,Search,검색
lobby/friend|1|2|1|0,Search,검색
lobby/friend|1|2|2|0|0|0|1|0,Add,추가
lobby/friend|1|2|2|0|0|0|5,Applied,신청됨
lobby/friend|1|2|2|0|0|1|1|0,Add,추가
lobby/friend|1|2|2|0|0|1|5,Applied,신청됨
lobby/friend|1|3|0|0|0|1|0,View,보기
lobby/friend|1|3|0|0|0|2|0,Delete,삭제
lobby/friend|1|3|0|0|0|8|0,Watch,관전
lobby/friend|1|3|1,Your Friend List is Empty,친구 목록 비어있음
